fluid,operator,project_status,inplace,depth,temp,poro,perm,saturate,api_dens,visc,avg_fluid_rate,location,region,prospect_rank
Gas,NON_PERTAMINA,ONSHORE,212.0,3250.0,79.42671121977969,0.1898358,958.2147,0.578436,0.8277056,0.0,5.244204,Sumatera Selatan,Sumatera,2
Gas,NON_PERTAMINA,ONSHORE,6623.0,7100.0,152.9,0.06330901,201.2441,0.2000223,0.7195771,0.0,17.20618,Sumatera Selatan,Sumatera,2
Gas,NON_PERTAMINA,ONSHORE,6623.0,7100.0,152.9,0.06330901,201.2441,0.2000223,0.7195771,0.0,17.20618,Sumatera Selatan,Sumatera,2
Gas,PERTAMINA,OFFSHORE,44.054,2523.0,72.24657475124619,0.2618117,595.6729,0.6041095,0.8382971,0.0,72.31319,Selat Makasar,Kalimantan,2
Gas,PERTAMINA,OFFSHORE,201.0,8250.0,112.55295308197896,0.1820882,58.2107,0.6009694,0.819289,0.0,64.21008,Selat Makasar,Kalimantan,2
Gas,PERTAMINA,OFFSHORE,141.018,7100.0,106.40467283715252,0.2234726,93.64886,0.5616331,0.6433482,0.0,32.92207,Selat Makasar,Kalimantan,2
Gas,NON_PERTAMINA,ONSHORE,207.42,5300.0,95.37704372152862,0.2037659,148.4817,0.502045,0.8806835,0.0,25.38097,Jambi,Sumatera,2
Gas,PERTAMINA,ONSHORE,267.67,6480.0,102.8279538197922,0.1686232,108.9766,0.5701774,0.8034328,0.0,13.04356,Sumatera Selatan,Sumatera,2
Gas,PERTAMINA,ONSHORE,1009.93,7011.0,105.90359193440366,0.1460565,17.18907,0.4308568,0.8031358,0.0,17.15965,Sumatera Selatan,Sumatera,2
Gas,NON_PERTAMINA,OFFSHORE,194.0,5375.0,119.35,0.181778,58.2107,0.3802676,0.7798384,0.0,2.863511,Laut Natuna Utara,Sumatera,2
Gas,NON_PERTAMINA,BOTH,102.82,3000.0,56.650000000000006,0.4352012,144.822,0.613657,0.5891273,0.0,22.52037,Laut Jawa,Jawa,2
Gas,NON_PERTAMINA,BOTH,778.7,2000.0,66.2316006569589,0.3293346,325.2355,0.6503171,0.7776215,0.0,87.5733,Laut Jawa,Jawa,2
Gas,NON_PERTAMINA,ONSHORE,118.0,8747.0,151.7,0.1524349,29.37512,0.8967441,0.760285,0.0,18.84172,Papua Barat,Timur,2
Gas,NON_PERTAMINA,ONSHORE,4.0,8300.0,112.80772706129542,0.1618008,59.33775,0.5663427,0.8034328,0.0,12.10605,Papua Barat,Timur,2
Gas,NON_PERTAMINA,ONSHORE,15.2,8500.0,113.81732874428884,0.208427,1843.266,0.7420453,0.7076034,0.0,7.070269,Papua Barat,Timur,2
Gas,NON_PERTAMINA,ONSHORE,93.0,7750.0,109.9503265939446,0.1437241,18.67255,0.4698008,0.8031358,0.0,8.089176,Papua Barat,Timur,2
Gas,NON_PERTAMINA,ONSHORE,7.043,9250.0,117.47624681421226,0.1586345,66.44479,0.7571208,0.8034328,0.0,8.840745,Papua Barat,Timur,2
Gas,NON_PERTAMINA,OFFSHORE,430.7,1748.0,52.8,0.4679498,255.8576,0.4277362,0.6994113,0.0,81.20269,Laut Jawa,Jawa,2
Gas,NON_PERTAMINA,OFFSHORE,89.5,3129.0,71.5,0.4532926,66.5536,0.6208867,0.5970238,0.0,20.76481,Laut Jawa,Jawa,2
Gas,PERTAMINA,BOTH,7135.0,10393.5,126.5,0.1712447,33.20481,0.7802863,0.7798384,0.0,17.2499,Selat Makasar,Kalimantan,2
Gas,PERTAMINA,BOTH,7135.0,10393.5,126.5,0.1712447,33.20481,0.7802863,0.7798384,0.0,17.2499,Selat Makasar,Kalimantan,2
Gas,PERTAMINA,BOTH,4155.0,8200.0,110.55,0.1797476,727.6804,0.5998836,0.7682066,0.0,165.6952,Selat Makasar,Kalimantan,2
Gas,PERTAMINA,BOTH,18882.0,10780.0,81.4,0.2997081,483.3291,0.8025897,0.630865,0.0,27.99518,Selat Makasar,Kalimantan,2
Gas,PERTAMINA,BOTH,18882.0,10780.0,81.4,0.2997081,483.3291,0.8025897,0.630865,0.0,27.99518,Selat Makasar,Kalimantan,2
Gas,NON_PERTAMINA,OFFSHORE,1226.0,6527.0,63.8,0.2446346,340.8867,0.5938145,0.5926647,0.0,87.97173,Selat Makasar,Kalimantan,2
Gas,NON_PERTAMINA,OFFSHORE,510.0,6540.0,66.55000000000001,0.2181219,393.3316,0.6111534,0.708308,0.0,101.1401,Selat Makasar,Kalimantan,2
