,fluid,field_name,operator,project_status,project_level,inplace,depth,temp,poro,perm,saturate,api_dens,visc,cap_cost,opr_cost,total_cost,avg_fluid_rate,location,region,NPV,PI
55,Gas,WEST BELUT,MEDCO E&P NATUNA LTD.,OFFSHORE,E0. On Production,88.0,3710.0,80.30000000000001,0.2786436,302.4089,0.4808362,0.7803656,0.0,70.24754,65.25648,135.50402,63.91319,Laut Natuna Utara,Sumatera,33.95338,0.2505710162694804
56,Gas,West handil,PT PERTAMINA HULU SANGA SANGA,ONSHORE,X2. Development Undetermined,1.5,10500.0,123.18245701796556,0.1721202,78.75341,0.7793997,0.8098195,0.0,41.07497,6.198891,47.273861,12.89167,Kalimantan Timur,Kalimantan,33.51643,0.708984400491426
57,Gas,WIRIAGAR DEEP,BP BERAU LTD.,OFFSHORE,E6. Further Development,2604.391,8735.0,116.05000000000001,0.1261581,250.5103,0.7742893,0.7053734,0.0,298.0252,2726.074,3024.0992,30.3366,Papua Barat,Timur,1073.954,0.3551318686900218
58,Gas,WIRIAGAR DEEP,BP WIRIAGAR LTD.,ONSHORE,E6. Further Development,2604.391,8735.0,116.05000000000001,0.1261581,250.5103,0.7742893,0.7053734,0.0,298.0252,2726.074,3024.0992,30.3366,Papua Barat,Timur,1073.954,0.3551318686900218
59,Gas,WOS,BP BERAU LTD.,OFFSHORE,X1. Discovery under Evaluation,162.0,9525.0,118.7711888998197,0.1585625,66.44479,0.7033411,0.8034328,0.0,46.29632,7.71878,54.015100000000004,4.191811,Teluk Berau,Timur,16.97856,0.3143298818293403
60,Gas,ZAHRA-1,PT PERTAMINA HULU ENERGI OSES,OFFSHORE,X1. Discovery under Evaluation,11.47,5500.0,96.70825457257487,0.220174,165.1224,0.5989424,0.739697,0.0,344.5959,8.401711,352.99761099999995,50.72643,Laut Jawa,Jawa,7.074624,0.02004156339743614
61,Gas,KERENDAN,OPHIR INDONESIA (BANGKANAI) LTD.,ONSHORE,E0. On Production,1981.83,9150.0,134.75,0.05898619,8.822358,0.6497821,1.447722,0.0,34.83802,23.12467,57.962689999999995,15.73693,Kalimantan Tengah,Kalimantan,137.7491,2.3765132363594583
62,Gas,SENG-SEGAT-PENAR,EMP BENTU LTD.,ONSHORE,E0. On Production,428.4,1328.0,73.15,0.2394965,137.742,0.7680077,0.5636793,0.0,69.06136,23.20429,92.26565,1.163244,Riau,Sumatera,191.9058,2.079926820002894
63,Gas,SENG-SEGAT-PENAR,EMP BENTU LTD.,ONSHORE,E0. On Production,428.4,1328.0,73.15,0.2394965,137.742,0.7680077,0.5636793,0.0,69.06136,23.20429,92.26565,1.163244,Riau,Sumatera,191.9058,2.079926820002894
64,Gas,VORWATA,BP BERAU LTD.,OFFSHORE,E0. On Production,4817.1,12845.0,123.20000000000002,0.1186432,155.9794,0.8418816,0.7198746,0.0,237.6178,2564.906,2802.5238,27.98884,Teluk Berau,Timur,196.7117,0.07019091149199161
65,Gas,DAYUNG,CONOCOPHILLIPS (GRISSIK) LTD.,ONSHORE,E0. On Production,1485.0,5200.0,94.69962905115591,0.1903597,65.23323,0.4983107,0.8277056,0.0,296.8403,109.1345,405.9748,67.92367,Sumatera Selatan,Sumatera,605.2802,1.4909304715465097
66,Gas,GELAM,CONOCOPHILLIPS (GRISSIK) LTD.,ONSHORE,E0. On Production,428.0,5564.0,97.12783032793861,0.2247497,273.6423,0.5307709,0.6521167,0.0,32.06036,2.83377,34.894130000000004,28.85748,Sumatera Selatan,Sumatera,155.1863,4.447346874674909
67,Gas,LETANG,CONOCOPHILLIPS (GRISSIK) LTD.,ONSHORE,E0. On Production,212.0,3250.0,79.42671121977969,0.1898358,958.2147,0.578436,0.8277056,0.0,93.7711,43.16333,136.93443000000002,5.244204,Sumatera Selatan,Sumatera,197.2889,1.4407545275501565
68,Gas,LETANG,CONOCOPHILLIPS (GRISSIK) LTD.,ONSHORE,E0. On Production,212.0,3250.0,79.42671121977969,0.1898358,958.2147,0.578436,0.8277056,0.0,93.7711,43.16333,136.93443000000002,5.244204,Sumatera Selatan,Sumatera,197.2889,1.4407545275501565
69,Gas,SUBAN,CONOCOPHILLIPS (GRISSIK) LTD.,ONSHORE,E0. On Production,6623.0,7100.0,152.9,0.06330901,201.2441,0.2000223,0.7195771,0.0,33.0221,83.73291,116.75501,17.20618,Sumatera Selatan,Sumatera,196.8172,1.6857280899551979
